pn,description,qty_ordered,family,notes
Y2428-024-24050000,BACKSHELL 24SZ,2,shell 24 accessory,
2428-025-1805,"BKSHL, 18SZ, BLK, ST, L024",2,shell 18 accessory,
M902-2243,"BKSHL, 24SZ, CBL SZ .430-.570, HDP L015",1,shell 24 accessory,
4-1437290-0,"34POS SUPERSEAL REC HSG COD1",2,Link ECU header,ECU-B loom housing
4-1437290-1,"34POS SUPERSEAL REC HSG COD2",2,Link ECU header,ECU-A loom housing
3-1447221-3,"S/S REC CONTACT ASSY AU 0.75-1.25",68,SuperSeal 1.0 contact,
3-1447221-4,"S/S REC CONTACT ASSY AU 0.5",68,SuperSeal 1.0 contact,20 AWG - ECU pins
2141029-1,"FUSE BOX ASSY, HARD WIRED",1,fuse block,cabin fuse block
2141031-1,"FIXATION, BRACKET FOR BOX, ASSY",1,fuse block,
2141033-1,"COVER, FOR PRE FUSE MODULE",1,fuse block,
5-1393292-8,V23074A2001A402-EV-CBOX,2,micro ISO relay,1 form A NO diode
4-1904124-2,V23074A1001A402-EV-CBOX,2,micro ISO relay,1 form A NO resistor
4-1904124-3,V23074A1001A403-EV-CBOX,2,micro ISO relay,
6-1419137-4,V23074A2001A403-EV-CBOX,2,micro ISO relay,1 form C CO diode
1416010-1,V23132A2001B200-EV-CBOX,2,HCR150 relay,"SPST-NO 130A 12V coil 3.9W IP67. One is the EPS pump relay (loom C); the other is the battery-kill candidate, plan 6.43"
1-1393304-0,V23134J1052X281-EV-CBOX,2,F7 PCB power relay,unassigned - electromechanical not solid state
1-1414147-0,V23134J0052X429-EV-CBOX,3,F7 PCB power relay,unassigned - electromechanical not solid state
1393310-4,VCF7-1000=FROM SEC,1,relay accessory,
DT04-12PA,"REC, 12P, GRY, N, A",2,Deutsch DT,CLAIMED - rear trunk loom inline connector (plan 6.41)
DT06-12SA,"PLG, 12P, GRY, N, A",2,Deutsch DT,CLAIMED - mates the above
W12P,"WEDGE LOCK, 12P, REC, GRN, DT",2,Deutsch DT,rear trunk inline
W12S,"WEDGE LOCK, 12P, PLG, ORG, STD, DT",2,Deutsch DT,rear trunk inline
YD369-MP33-NP00000,"369 3 WAY SHIELDED PLUG, NO CONTACTS, PIN",1,369 shielded,UNASSIGNED - candidate for a VR sensor screened drop
YD369-MR33-NS00000,"369 3 WAY SHIELDED REC, NO CONTACTS, SKT",1,369 shielded,UNASSIGNED - mates the above
D369-STB-3,369 3 WAY BACKSHELL STRAIGHT TIE WRAP,2,369 accessory,
1241374-2,"AMP MCP 1.5K, CONTACT",20,AMP MCP contact,
1241388-2,"AMP MCP 2.8K, CONTACT",10,AMP MCP contact,
1241406-3,"AMP MCP 6.3/4.8K, CONTACT",4,AMP MCP contact,
2-929939-1,JPT REC 2.8 CONTACT SWS AU,9,JPT contact,
828904-1,SINGLE WIRE SEAL FOR J.P.T. CON,6,JPT seal,
281934-2,SINGLE WIRE SEAL,10,seal,
282080-1,AMP SUPERSEAL 1.5 SERIES 2P PL,2,SuperSeal 1.5,
282110-1,MINI MIC RCPT CONTACT,10,contact,
282189-1,SPLASH PROOF CONN. W.S.L.,3,connector,
42281-1,FF 250 REC 18-14AWG BR,20,faston,
60249-1,FF 250 REC 16-12AWG BR,21,faston,
177801-000,10613-24-9,5,Raychem,
542561-000,55/0112-16-9,5,Raychem wire,
645151-000,55/0112-16-0,5,Raychem wire,
EP3166-000,0026G8424-9,6,Raychem,
EP3169-000,0024B8424-9,6,Raychem,
5039244037,DR-25-1-0-SP,5,Raychem DR-25,
5039254029,DR-25-3/4-0-SP,5,Raychem DR-25,
5039264026,DR-25-3/8-0-SP,5,Raychem DR-25,
5039294018,DR-25-3/16-0-SP,8,Raychem DR-25,
5039304024,DR-25-1/2-0-SP,5,Raychem DR-25,
6458864001,DR-25-TW-1/8-0-SP,5,Raychem DR-25,
5052844025,RNF-100-3/64-0-SP,5,Raychem RNF,
7421224003,RNF-3000-4.5/1.5-0-SP,5,Raychem RNF,
9755734001,CGPT-3/1-2-SP,3,Raychem CGPT,
RB390,RAYCHEM HEAT SHRINK BOOT 90,4,Raychem boot,
ATUM,RAYCHEM ATUM - VARIOUS,100,Raychem ATUM,bulk line
HTAT,RAYCHEM HTAT - VARIOUS,100,Raychem HTAT,bulk line
NB07402001,HTAT-12/3-0-STK,4,Raychem HTAT,
NB07552001,HTAT-16/4-0-STK,4,Raychem HTAT,
NB07744001,HTAT-24/6-0-SP,2,Raychem HTAT,
NB08012001,HTAT-4/1-0-STK,4,Raychem HTAT,
NB08192001,HTAT-8/2-0-STK,4,Raychem HTAT,
NB08994001,ATUM-12/3-0-SP,1,Raychem ATUM,
NB09542001,ATUM-16/4-0-STK,4,Raychem ATUM,
NB09654001,ATUM-19/4-0-SP,1,Raychem ATUM,
NB09662001,ATUM-19/4-0-STK,4,Raychem ATUM,
NB10132001,ATUM-24/6-0-STK,3,Raychem ATUM,
NB10784001,ATUM-32/8-0-SP,1,Raychem ATUM,
NB11014001,ATUM-4/1-0-SP,2,Raychem ATUM,
NB11354001,ATUM-52/13-0-SP,2,Raychem ATUM,
NB11802001,ATUM-8/2-0-STK,5,Raychem ATUM,
12034269,DELPHI METRI-PACK 630 BLACK 2 WAY MALE 12-10 AWG,1,non-TE,listed in the same sheet
1928403970,3 WAY KOMPAKT-BOSCH CONNECTOR KIT MAP,2,non-TE,MAP sensor
TSPD-3,TURBO SPEED CONNECTOR,1,non-TE,turbo speed sensor
GT150-2,DELPHI GT150 2 PIN,1,non-TE,
FLEX-3,GM FLEX FUEL SENSOR CONNECTOR,1,non-TE,flex fuel sensor
