pin,io_channel,io_function,io_colour,mech_signal,mech_cavity,mech_dests,mech_colours,mech_files,loom_label,onedrive_signal,io_notes
B5,V-Ethrottle 12V switched input,"ETB H-bridge supply — power in, not an output . Triggered by Aux 2 (A20).",Red/White,V-Ethrottle In,b5,k_etb/+12V out -> ECU B5 V-Ethrottle,Red,ST185-Power.harness; ST185-Signal.harness,V-Ethrottle in,V-Ethrottle In,12V in | ✅ | 0.75 mm². Present on the loom but absent from the Quickstart I/O table — always list it explicitly.
B6,Temp 3,Oil temp,Yellow,Temp 3 (Oil T),b6,bh_b_fw/ECU-B B6,Yellow,ST185-Signal.harness,Temp 3 Oil T,Temp 3 (Oil T),✅ | Fixed 1k pull-up (Temp 3/4 are not selectable)
B7,Temp 4,Charge-pipe IAT #2 (heat-soak),Yellow,Temp 4 (Chg IAT),b7,bh_b_fw/ECU-B B7,Yellow,ST185-Signal.harness,Temp 4 Chg IAT,Temp 4 (Chg IAT),"✅ | No external resistor, but Temp 3 and Temp 4 are fixed at 1k — only Temp 1/2 are selectable. Same NTC part as the manifold IAT on Temp 2, so the two need sep"
B8,Knock 2,spare,Grey,Knock 2 (spare),b8,,,ST185-Signal.harness,Knock 2,Knock 2 (spare),⬜ | 
B9,Knock 1,Knock sensor,Grey,Knock 1,b9,bh_a_fw/ECU-B B9,Gray,ST185-Signal.harness,Knock 1,Knock 1,✅ | 
B10,Ign 8…5,Violet,"Blue/Purple, Blue/Black, Blue/Green, Blue/Yellow",,b10,,,ST185-Signal.harness,Ign 8 spare,,
B11,Ign 8…5,Violet,"Blue/Purple, Blue/Black, Blue/Green, Blue/Yellow",,b11,,,ST185-Signal.harness,Ign 7 spare,,
B12,Ign 6,Available,Violet,,b12,,,ST185-Signal.harness,Ign 6 spare,,low-side | ⬜ | Freed 2026-09-06 — no ECU-driven warning lamps. The stock combination meter is gone; the replacement cluster handles indicators over CAN.
B13,Ign 5,2nd rad fan (AC condenser duty),Violet,Ign 5 (2nd Fan),b13,"k_fan2/Coil - -> Ign 5 / B13 - low-side, NO internal flywheel diode - diode-suppressed relay required",Violet,ST185-Signal.harness,Ign 5 2nd fan,Ign 5 (2nd Fan),low-side | ✅ | spare ign as aux
B14,,,,,b14,,,ST185-Signal.harness,nc empty cavity,,
B15,An Volt 6,Oil pressure,White,An Volt 6 (Oil P),b15,bh_b_fw/ECU-B B15,White,ST185-Signal.harness,An Volt 6 Oil P,An Volt 6 (Oil P),✅ | 
B16,An Volt 7,Fuel pressure,White,An Volt 7 (Fuel P),b16,bh_b_fw/ECU-B B16,White,ST185-Signal.harness,An Volt 7 Fuel P,An Volt 7 (Fuel P),✅ | 
B17,Shield/Gnd,Green/Yellow,Green,Shield/Gnd,b17,sp_shield_cab/Splice,Green,ST185-Signal.harness,Shield/Gnd,Shield/Gnd,
B18,Aux 9,Bosch ETB motor (H-bridge),Pink,Aux 9 (ETB M+),b18,"bh_b_fw/ETB motor + (Aux 9, B18)",Pink,ST185-Power.harness; ST185-Signal.harness,Aux 9 ETB M+,Aux 9 (ETB M+),H-bridge | ✅ | DBW
B19,DI 6,ABS wheel speed ×4 (reluctor),Green,DI 6 (WSS RR),b19,vr2_out2/Terminal,Green,ST185-Signal.harness,DI 6 WSS RR,DI 6 (WSS RR),"✅ | Shielded twisted pair. Fed through a NCV1124 VR conditioner — see docs/devices/VR-WHEEL-SPEED-CONDITIONER.md . Conditioner ground = Gnd Out, 5V from the ext"
B20,DI 5,ABS wheel speed ×4 (reluctor),Green,DI 5 (WSS RL),b20,vr2_out1/Terminal,Green,ST185-Signal.harness,DI 5 WSS RL,DI 5 (WSS RL),"✅ | Shielded twisted pair. Fed through a NCV1124 VR conditioner — see docs/devices/VR-WHEEL-SPEED-CONDITIONER.md . Conditioner ground = Gnd Out, 5V from the ext"
B21,DI 4,ABS wheel speed ×4 (reluctor),Green,DI 4 (WSS FR),b21,bh_a_fw/ECU-B B21,Green,ST185-Signal.harness,DI 4 WSS FR,DI 4 (WSS FR),"✅ | Shielded twisted pair. Fed through a NCV1124 VR conditioner — see docs/devices/VR-WHEEL-SPEED-CONDITIONER.md . Conditioner ground = Gnd Out, 5V from the ext"
B22,Gnd Out,Black/White,Green,Gnd Out,b22,sp_gndout/Splice,Black,ST185-Power.harness; ST185-Signal.harness,Gnd Out,Gnd Out,
B23,An Volt 8,Coolant pressure,White,An Volt 8 (Clnt P),b23,bh_b_fw/ECU-B B23,White,ST185-Signal.harness,An Volt 8 Clnt P,An Volt 8 (Clnt P),✅ | 
B24,An Volt 9,Fuel level sender,White,An Volt 9 (Fuel Lvl),b24,fuellvl/SIG,White,ST185-Signal.harness,An Volt 9 Fuel lvl,An Volt 9 (Fuel Lvl),✅ | An Volt has no internal pull-up (QSG: 0–5 V only). External divider to +5 V required; calibrate V→% (resistor value TBD).
B25,Ground,Black,Black,Ground,b25,sp_chassis/Splice,Black,ST185-Power.harness; ST185-Signal.harness,Ground,Ground,
B26,Aux 10,Bosch ETB motor (H-bridge),Pink,Aux 10 (ETB M-),b26,"bh_b_fw/ETB motor - (Aux 10, B26)",Pink,ST185-Power.harness; ST185-Signal.harness,Aux 10 ETB M−,Aux 10 (ETB M-),H-bridge | ✅ | DBW
B27,DI 10,Available,Green,,b27,,,ST185-Signal.harness,DI 10 / CAN2 H spare,,⬜ | CAN 2 unused. Ordinary digital input.
B28,DI 9,Ignition Switch (Hold Power),Green,DI 9 (Ignition Switch),b28,ign_sw/IGN ON,Green,ST185-Signal.harness,DI 9 Ignition Switch,,"✅ | Dummy OEM ignition-switch block — key-on sense for PCLink Hold Power (pairs with Aux 6 EFI-main hold). OEM internals not modelled. CAN 2 unused, so B28 is a"
B29,DI 8,Candidate: OEM trans-output VSS,Green,,b29,,,ST185-Signal.harness,DI 8 spare / VSS cand.,,"⬜ | Freed 2026-09-06 — clutch switch moved to the switchboard. Toyota OEM VSS (powered, reads the trans-output ring gear) fits here: a driven square-wave source"
B30,DI 7,Start request (button/key),Green,DI 7 (Start Req),b30,start_req/SW,Green,ST185-Signal.harness,DI 7 Start,DI 7 (Start Req),✅ | ECU-controlled start
B31,An Volt 10,Available,White,,b31,,,ST185-Signal.harness,An Volt 10 spare,,"⬜ | Not reserved. The AC amplifier handles compressor protection itself, so no analog channels are needed for AC."
B32,An Volt 11,Available,White,,b32,,,ST185-Signal.harness,An Volt 11 spare,,"⬜ | Not reserved. The AC amplifier handles compressor protection itself, so no analog channels are needed for AC."
B33,An Volt 5,BRZ APS SUB (VPA2 pin 3),White,An Volt 5 (APS-S),b33,aps/VPA2 APS-S,White,ST185-Signal.harness,An Volt 5 APS-S,An Volt 5 (APS-S),✅ | Pedal pin 3 = VPA2. Independent +5 V (pin 1 VC2) and Gnd Out (pin 2 GND2). Toyota-family sub track often saturates ~60–70 % — set PCLink APS (Sub) 100% afte
B34,Ground,Black,Black,Ground,b34,sp_chassis/Splice,Black,ST185-Power.harness; ST185-Signal.harness,Ground,Ground,
